player_id,name,team,position,total_points,price,points_per_price,popularity_pct,stats_url,form,xg_per90,shots_per90,shots_on_target_per90,key_passes_per90,crosses_per90,crosses_accurate_per90
923,Rafał Augustyniak,Legia Warszawa,Pomocnik,29,1.7,17.06,1%,https://fantasy.ekstraklasa.org/player/923,"[{'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 4, 'p': True}, {'r': 28, 'pts': 8, 'p': True}, {'r': 29, 'pts': 4, 'p': True}, {'r': 30, 'pts': -1, 'p': True}]",,,,,,
1719,Michael Ameyaw,Raków Częstochowa,Pomocnik,29,2.2,13.18,2%,https://fantasy.ekstraklasa.org/player/1719,"[{'r': 26, 'pts': 0, 'p': False}, {'r': 27, 'pts': 2, 'p': True}, {'r': 28, 'pts': 2, 'p': True}, {'r': 29, 'pts': 0, 'p': False}, {'r': 30, 'pts': 0, 'p': False}]",,,,,,
2505,Dimítrios Keramítsis,Pogoń Szczecin,Obrońca,29,1.8,16.11,1%,https://fantasy.ekstraklasa.org/player/2505,"[{'r': 26, 'pts': 1, 'p': True}, {'r': 27, 'pts': 0, 'p': True}, {'r': 28, 'pts': 0, 'p': False}, {'r': 29, 'pts': 0, 'p': True}, {'r': 30, 'pts': 2, 'p': True}]",,,,,,
2526,Sondre Liseth,Górnik Zabrze,Napastnik,29,2.0,14.5,2%,https://fantasy.ekstraklasa.org/player/2526,"[{'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 3, 'p': True}, {'r': 28, 'pts': 2, 'p': True}, {'r': 29, 'pts': 3, 'p': True}, {'r': 30, 'pts': 2, 'p': True}]",,,,,,
2688,Dion Gallapeni,Wisła Płock,Obrońca,29,1.8,16.11,1%,https://fantasy.ekstraklasa.org/player/2688,"[{'r': 26, 'pts': 11, 'p': True}, {'r': 27, 'pts': 1, 'p': True}, {'r': 28, 'pts': 6, 'p': True}, {'r': 29, 'pts': 7, 'p': True}, {'r': 30, 'pts': 2, 'p': True}]",,,,,,
1363,Bartłomiej Wdowik,Jagiellonia Białystok,Obrońca,28,2.1,13.33,13%,https://fantasy.ekstraklasa.org/player/1363,"[{'r': 26, 'pts': 1, 'p': True}, {'r': 27, 'pts': 5, 'p': True}, {'r': 28, 'pts': 0, 'p': False}, {'r': 29, 'pts': 0, 'p': False}, {'r': 30, 'pts': -2, 'p': True}]",,,,,,
1529,Mariusz Fornalczyk,Widzew Łódź,Pomocnik,28,1.9,14.74,2%,https://fantasy.ekstraklasa.org/player/1529,"[{'r': 26, 'pts': 0, 'p': False}, {'r': 27, 'pts': 2, 'p': True}, {'r': 28, 'pts': 8, 'p': True}, {'r': 29, 'pts': 2, 'p': True}, {'r': 30, 'pts': 4, 'p': True}]",,,,,,
2239,Igor Orlikowski,Zagłębie Lubin,Obrońca,28,1.7,16.47,1%,https://fantasy.ekstraklasa.org/player/2239,"[{'r': 26, 'pts': 2, 'p': True}, {'r': 27, 'pts': 0, 'p': False}, {'r': 28, 'pts': 6, 'p': True}, {'r': 29, 'pts': 2, 'p': True}, {'r': 30, 'pts': 5, 'p': True}]",,,,,,
2417,Filip Luberecki,Motor Lublin,Obrońca,28,1.7,16.47,2%,https://fantasy.ekstraklasa.org/player/2417,"[{'r': 26, 'pts': 6, 'p': True}, {'r': 27, 'pts': 2, 'p': True}, {'r': 28, 'pts': 2, 'p': True}, {'r': 29, 'pts': -1, 'p': True}, {'r': 30, 'pts': 1, 'p': True}]",,,,,,
2637,Marcin Kamiński,Wisła Płock,Obrońca,27,2.0,13.5,7%,https://fantasy.ekstraklasa.org/player/2637,"[{'r': 26, 'pts': 3, 'p': True}, {'r': 27, 'pts': 2, 'p': True}, {'r': 28, 'pts': 6, 'p': True}, {'r': 29, 'pts': 3, 'p': True}, {'r': 30, 'pts': 2, 'p': True}]",,,,,,
